produit_id,nom_produit,catégorie,prix_unitaire
98054,if top,Maison,973.01
83028,impact reach,Informatique,880.32
64717,together system,Jardin,136.24
74698,activity both,Électronique,912.19
13433,positive after,Maison,154.64
10729,hotel degree,Informatique,800.46
83277,west western,Maison,882.67
62762,amount seat,Maison,379.34
9991,each edge,Maison,185.47
29940,cause here,Informatique,967.4
285,provide friend,Jardin,162.6
38980,light together,Jardin,757.42
95733,south interview,Jardin,259.25
35577,tough no,Maison,41.98
41078,break of,Informatique,395.12
68778,rule deal,Jardin,111.08
1025,against return,Électronique,307.44
5537,why day,Informatique,432.56
23504,may somebody,Informatique,223.91
66829,indicate glass,Informatique,655.22
62070,firm it,Maison,709.83
24491,friend senior,Jardin,785.53
59794,economic power,Électronique,146.78
31238,church interest,Électronique,54.88
58821,yard identify,Informatique,399.75
79139,administration success,Jardin,378.98
92810,citizen dream,Électronique,876.79
49358,west build,Informatique,812.37
60947,front letter,Maison,793.46
70552,blood sister,Maison,901.46
88584,law within,Électronique,851.28
12041,most easy,Jardin,550.4
65859,however group,Électronique,565.77
41230,church always,Jardin,428.98
29397,level visit,Électronique,346.42
46813,avoid loss,Jardin,58.75
3436,he pattern,Maison,504.18
3588,collection child,Maison,52.62
14861,social ahead,Jardin,118.94
85138,same impact,Maison,638.88
84855,fund account,Jardin,216.8
77235,low nor,Électronique,31.54
30630,share particularly,Électronique,646.96
75590,fill condition,Maison,803.04
62335,man series,Informatique,619.45
38257,few trade,Informatique,712.15
70918,team clear,Électronique,59.7
60205,probably character,Maison,828.78
97994,remain discussion,Électronique,534.48
13073,table after,Jardin,92.97
78574,pretty little,Maison,275.46
66986,stay away,Électronique,171.66
89010,state since,Jardin,773.88
4459,admit measure,Électronique,737.28
27975,make site,Informatique,254.19
91362,training force,Informatique,640.29
57048,central finish,Électronique,349.0
44214,himself world,Électronique,597.5
25217,case full,Informatique,221.27
27041,popular figure,Jardin,483.9
48648,some onto,Électronique,35.31
44518,build society,Maison,303.04
9868,reduce first,Électronique,882.4
2649,themselves person,Informatique,382.08
4080,reach physical,Jardin,879.22
7458,could tell,Informatique,311.26
13892,son how,Informatique,889.57
99467,entire clear,Maison,168.62
53539,radio develop,Électronique,458.26
7628,call thought,Électronique,671.06
91472,different state,Maison,513.47
34209,new family,Électronique,339.87
22733,seat your,Électronique,790.71
99677,game test,Électronique,780.7
25025,mouth key,Électronique,575.89
23419,represent which,Maison,615.92
70166,let candidate,Jardin,337.72
37534,dark few,Informatique,290.77
62170,choice compare,Maison,506.51
84927,team allow,Électronique,332.14
66223,specific serious,Informatique,763.48
31737,pull idea,Informatique,700.12
87329,worker organization,Électronique,990.26
93476,subject court,Informatique,378.85
13189,store daughter,Jardin,150.25
67406,threat mission,Maison,181.57
35740,fly catch,Électronique,408.16
35618,now suddenly,Jardin,725.87
2235,senior work,Informatique,871.17
98176,single similar,Maison,698.81
39707,record give,Jardin,271.2
73670,government leg,Maison,838.01
52265,international watch,Maison,110.68
30480,area world,Informatique,919.25
66984,car data,Maison,115.17
91241,Republican police,Informatique,442.29
39680,wait phone,Jardin,390.08
37001,draw beyond,Maison,478.75
20230,maintain finish,Informatique,37.39
4361,follow it,Jardin,328.54
